RAGA,THAAT,TIME,AAROHA,AVAROHA,VADI,SAMVADI,PAKAD,JATI
Durga,Bilaval,7,"S,R,m,P,D,S'","S',D,P,D,m,R,'D,S",2,1,m P D P D m R P m R 'D S,Audav-Audav
Gandhari,Asavari,2,"S,R,m,P,d,n,S'","S',n,d,n,d,P,m,g,r,s",3,4,R m P d P n d S n d P,Shadav-Sampoorna
Gavati,Khamaj,4,"n,S,G,m,P,n,S'","S,n,S',D,P,m,P,G,m,R,S",1,2,P n S' D P G m R S,Audav-Sampurna
Gaud Sarang,Kalyaan,3,"N,S,G,R,m,G,P,M,D,P,N,D,S'","S',D,P,M,P,G,m,R,G,R,m,G,P,R,S",3,4,G R m G P R S,Sampurna-Sampurna
Gorakh Kalyan,Khamaj,6,"S,R,m,D,n,D,S'","S',n,D,m,R,R,m,P,m,R,'n,'D,S",1,2,'D S R m R 'n 'D S m D n D m R R m P m R 'n 'D S,Audav-Shadav
Gouri,Bhairav,5,"S,G,r,G,G,m,P,m,P,d,N,S'","S',N,D,P,d,P,m,G,G,r,'N,S,'N,S",2,1,m d P d m P G m r G r S r S 'N,Sampurna-Sampurna
Gujari Todi,Todi,2,"S,r,g,M,d,N,S'","S',N,d,M,g,r,S",3,6,M d N d M g r g r S,Shadav-Shadav
Gunak(ri)ali,Bhairav,1,"S,r,m,P,d,S'","S',d,P,m,r,S",3,6,r m P d d P m r r 'd S,Audav-Audav
Gunjikanada,Kafi,6,"S,R,G,R,m,m,P,g,D,n,S'","S',D,n,P,g,g,m,R,S",2,1,S 'n 'n S S R g g m R S,Sampurna-Sampurna
Gowri,Poorvi,5,"S,r,M,P,M,d,N,S'","S',N,d,P,d,m,P,M,d,M,G,r,G,r,S",2,1,N d P d m M d M G r G r S,Shadav-Sampoorna
Hamir,Kalyaan,6,"S,R,G,m,D,N,S'","S',N,D,P,M,P,G,m,R,S",4,3,G m D N S',Shadav-Sampoorna
Hamsadhwani,Bilaval,6,"S,R,G,P,N,S'","S',N,P,G,R,S",1,2,R G P R G P N P G R S,Audav-Audav
Hamsakankini,Kafi,3,"N,S,G,m,P,N,S'","S,n,D,P,m,P,g,m,P,g,R,S,'N,'N,S",2,1,S' G m P P n D P m P g R S,Audav-Sampurna
HemaKalyan,Bilaval,5,"P,'D,'P,S,R,S,G,m,P,D,P,S'","S,D,P,G,m,P,G,m,R,S",1,2,P D P S R S,Shadav-Shadav
Hindol,Kalyaan,8,"S,G,M,D,N,D,S'","S',N,D,M,G,S",4,3,S G M N D M G S,Audav-Audav
Jaijaivanti,Khamaj,5,"N,S,R,G,m,P,N,S'","S',n,D,P,m,G,R,N',S,'D,'n,R",5,2,R G m P D G m R G 'N S 'D 'n R,Shadav-Sampoorna
Jaithkalyan,Kalyaan,5,"S,G,P,P,D,P,P,S'","S',P,P,D,P,P,D,P,G,R,S",2,1,S G P P D P P G P G S R S S P D P S' P D P G S,Audav-Audav
Jaikauns,Kafi,6,"N,S,g,m,M,m,D,N,S'","S',N,D,m,M,m,g,S",2,1,N/A,Audav-Audav
Jaladhar,Bilaval,5,"S,R,S,m,m,P,D,S'","S',D,P,m,R,S",2,1,D P m R S m,Audav-Audav
Jaunpuri,Asavari,2,"S,R,m,P,d,n,S'","S',n,d,P,m,g,R,s",3,4,m P d n S n d P m P g R m P d P,Shadav-Sampoorna
Jaimini kalyan,Kalyaan,5,"N,R,G,M,D,N,S'","S',N,D,P,M,G,m,G,R,S",3,6,'N 'D 'N R G G m G R 'N G R S,Shadav-Sampoorna
Jhinjoti,Khamaj,6,"S,R,m,P,D,S'","S',n,D,P,m,G,R,G,R,R,S",3,6,D S R m G P m G R S 'n 'D 'P,Audav-Sampurna
Janasamohini,Khamaj,5,"S,R,G,P,D,n,S'","S',n,D,P,G,P,G,R,S,'n,'D,S",1,2,P D n D P G R S 'n 'D S,Shadav-Shadav
Jog,Kafi,7,"S,G,m,P,N,S'","S',n,P,m,G,m,g,S,g,S",2,1,S G G m S g 'n g S,Audav-Audav
Jogiya,Bhairav,1,"S,r,m,P,d,S'","S',N,d,P,d,m,G,r,S",2,1,m P d r' S' N d P m G r S,Audav-Sampurna
Kafi,Kafi,5,"S,R,g,m,P,D,n,S'","S',n,D,P,m,g,R,S",2,5,S R R g m P m P m P m P g R,Sampurna-Sampurna
Kalingda,Bhairav,8,"S,r,G,m,P,d,P,d,N,S'","S',N,d,P,m,G,r,S",2,1,P d P m G r S' N S r G m G r G r S,Sampurna-Sampurna
Kamod,Kalyaan,5,"S,R,P,m,P,D,P,N,D,S","S',N,D,P,M,P,D,P,G,m,P,G,m,R,S",2,5,S R P g m P g m R S,Shadav-Sampoorna
Kaunsi Kanada,Bhairavi,7,"N,S,m,g,m,d,n,S'","S',n,d,m,P,m,g,R,g,m,R,S",2,1,N/A,Audav-Sampurna
Kedar,Kalyaan,6,"S,m,m,P,M,P,D,N,S'","S',N,D,P,M,P,D,n,D,P,M,P,D,P,m,P,m,R,S",2,1,M P D P m P m S R S,Audav-Shadav
Khambavati,Khamaj,6,"S,R,m,P,D,S'","S,n,D,P,D,m,G,S",1,2,n D P D P m P G S,Shadav-Sampoorna
Khamaj,Khamaj,5,"S,G,m,P,D,N,S'","S',n,D,P,m,G,R,S",3,6,G m n D P D m G P,Shadav-Sampoorna
Khat,Asavari,2,"R,'n,S,g,m,P,d,n,S'","R',S',n,D,P,m,P,g,m,R,S",2,1,R 'n S g m P d D n P S' n D P,Sampurna-Sampurna
